bedingung,schicht,kopf,delta,p,signifikant_bh
C,3,4,0.046542,0.000999,1
C,3,5,-0.015643,0.954046,0
C,3,6,0.005373,0.043956,0
C,3,7,0.008855,0.030969,0
C,3,8,0.013234,0.000999,1
C,3,9,0.005596,0.217782,0
C,3,10,0.012868,0.000999,1
C,3,11,-0.003977,0.839161,0
C,4,0,0.019827,0.016983,1
C,4,1,0.024499,0.002997,1
C,4,2,-0.007466,0.797203,0
C,4,3,0.004269,0.242757,0
C,4,4,0.062259,0.000999,1
C,4,5,-0.015352,0.954046,0
C,4,6,0.016629,0.000999,1
C,4,7,-0.002850,0.865135,0
C,4,8,0.002421,0.400599,0
C,4,9,0.009400,0.172827,0
C,4,10,0.013353,0.032967,0
C,4,11,0.000000,0.299700,0
C,5,0,0.039334,0.000999,1
C,5,1,0.062616,0.000999,1
C,5,2,0.002901,0.362637,0
C,5,3,-0.008980,0.824176,0
C,5,4,-0.003780,0.689311,0
C,5,5,0.110858,0.000999,1
C,5,6,-0.001370,0.577423,0
C,5,7,0.007638,0.156843,0
C,5,8,0.012951,0.010989,1
C,5,9,0.041509,0.000999,1
C,5,10,0.030492,0.000999,1
C,5,11,0.053617,0.000999,1
C,6,0,0.006080,0.217782,0
C,6,1,0.029039,0.018981,0
C,6,2,0.025714,0.000999,1
C,6,3,0.019314,0.005994,1
C,6,4,-0.068916,1.000000,0
C,6,5,0.000684,0.438561,0
C,6,6,0.081861,0.000999,1
C,6,7,0.000161,0.468531,0
C,6,8,0.009658,0.149850,0
C,6,9,0.085268,0.000999,1
C,6,10,-0.018855,0.973027,0
C,6,11,0.026244,0.006993,1
C,7,0,-0.017130,0.914086,0
C,7,1,0.070046,0.000999,1
C,7,2,0.038601,0.000999,1
C,7,3,0.006767,0.239760,0
C,7,4,0.000095,0.486513,0
C,7,5,-0.016467,0.957043,0
C,7,6,0.005616,0.244755,0
C,7,7,0.019224,0.116883,0
C,7,8,0.012038,0.098901,0
C,7,9,0.016721,0.104895,0
C,7,10,0.095279,0.000999,1
C,7,11,-0.002121,0.604396,0
C,8,0,-0.000516,0.556444,0
C,8,1,0.042230,0.000999,1
C,8,2,-0.000925,0.532468,0
C,8,3,0.023330,0.051948,0
C,8,4,-0.000100,0.511489,0
C,8,5,0.001619,0.416583,0
C,8,6,0.026436,0.036963,0
C,8,7,-0.002156,0.572428,0
C,8,8,-0.012070,0.767233,0
C,8,9,-0.018302,0.933067,0
C,8,10,0.043582,0.000999,1
C,8,11,-0.008724,0.788212,0
C,9,0,-0.022253,0.898102,0
C,9,1,0.011415,0.092907,0
C,9,2,-0.025028,0.943057,0
C,9,3,-0.026322,1.000000,0
C,9,4,0.022998,0.003996,1
C,9,5,0.022903,0.004995,1
C,9,6,0.034637,0.000999,1
C,9,7,0.034707,0.000999,1
C,9,8,-0.069177,1.000000,0
C,9,9,0.066401,0.000999,1
C,9,10,0.007277,0.174825,0
C,9,11,-0.006697,0.732268,0
C,10,0,0.018651,0.077922,0
C,10,1,0.051291,0.000999,1
C,10,2,0.047959,0.000999,1
C,10,3,-0.017858,0.899101,0
C,10,4,0.033505,0.002997,1
C,10,5,-0.008350,0.912088,0
C,10,6,0.039925,0.017982,0
C,10,7,0.103569,0.000999,1
C,10,8,0.031561,0.000999,1
C,10,9,-0.015466,0.974026,0
C,10,10,0.039358,0.000999,1
C,10,11,0.001007,0.470529,0
C,11,0,0.014381,0.021978,0
C,11,1,0.025041,0.030969,0
C,11,2,0.007374,0.256743,0
C,11,3,-0.098995,1.000000,0
C,11,4,0.013120,0.082917,0
C,11,5,0.034759,0.001998,1
C,11,6,0.011390,0.182817,0
C,11,7,0.051677,0.000999,1
C,11,8,-0.000010,0.689311,0
C,11,9,0.034771,0.005994,1
C,11,10,0.040560,0.003996,1
C,11,11,0.001874,0.445554,0
D,0,0,-0.000350,0.650350,0
D,0,1,0.000025,0.004995,1
D,0,2,0.002404,0.001998,1
D,0,3,0.000032,0.093906,0
D,0,4,0.000167,0.136863,0
D,0,5,0.000709,0.000999,1
D,0,6,0.002289,0.000999,1
D,0,7,0.000888,0.000999,1
D,0,8,-0.000068,0.524476,0
D,0,9,-0.001537,1.000000,0
D,0,10,0.000453,0.093906,0
D,0,11,-0.000634,0.754246,0
D,1,0,0.000884,0.055944,0
D,1,1,-0.002026,1.000000,0
D,1,2,-0.000274,0.978022,0
D,1,3,-0.001524,0.952048,0
D,1,4,-0.001893,1.000000,0
D,1,5,0.009570,0.000999,1
D,1,6,0.005094,0.002997,1
D,1,7,-0.009075,1.000000,0
D,1,8,0.001768,0.042957,0
D,1,9,0.010236,0.000999,1
D,1,10,0.000121,0.001998,1
D,1,11,0.000530,0.033966,0
D,2,0,-0.003682,0.942058,0
D,2,1,-0.098461,1.000000,0
D,2,2,0.025246,0.000999,1
D,2,3,-0.008668,1.000000,0
D,2,4,0.048797,0.000999,1
D,2,5,-0.000218,0.532468,0
D,2,6,0.009803,0.041958,0
D,2,7,0.011491,0.000999,1
D,2,8,0.000418,0.404595,0
D,2,9,-0.008947,1.000000,0
D,2,10,-0.000201,0.714286,0
D,2,11,0.017772,0.000999,1
D,3,0,0.041266,0.000999,1
D,3,1,-0.032179,1.000000,0
D,3,2,-0.040897,1.000000,0
D,3,3,0.004749,0.279720,0
D,3,4,0.015451,0.010989,1
D,3,5,-0.031971,1.000000,0
D,3,6,-0.034314,1.000000,0
D,3,7,-0.082816,1.000000,0
D,3,8,-0.030684,1.000000,0
D,3,9,0.046714,0.000999,1
D,3,10,0.004925,0.043956,0
D,3,11,0.008058,0.017982,0
D,4,0,0.043458,0.000999,1
D,4,1,0.020262,0.002997,1
D,4,2,-0.084012,1.000000,0
D,4,3,-0.025489,1.000000,0
D,4,4,0.108327,0.000999,1
D,4,5,-0.029929,1.000000,0
D,4,6,-0.037273,1.000000,0
D,4,7,-0.054764,1.000000,0
D,4,8,-0.152351,1.000000,0
D,4,9,0.082665,0.000999,1
D,4,10,0.004086,0.273726,0
D,4,11,-0.000000,0.813187,0
D,5,0,-0.344236,1.000000,0
D,5,1,0.022612,0.007992,1
D,5,2,-0.052045,1.000000,0
D,5,3,-0.081581,1.000000,0
D,5,4,-0.127084,1.000000,0
D,5,5,-0.073820,1.000000,0
D,5,6,-0.228740,1.000000,0
D,5,7,0.103305,0.000999,1
D,5,8,-0.060413,1.000000,0
D,5,9,-0.102624,1.000000,0
D,5,10,0.010958,0.081918,0
D,5,11,0.135342,0.000999,1
D,6,0,0.022358,0.003996,1
D,6,1,0.006154,0.280719,0
D,6,2,0.004065,0.219780,0
D,6,3,-0.061250,1.000000,0
D,6,4,-0.169529,1.000000,0
D,6,5,-0.131152,1.000000,0
D,6,6,-0.049045,1.000000,0
D,6,7,-0.039686,1.000000,0
D,6,8,-0.077199,1.000000,0
D,6,9,-0.150131,1.000000,0
D,6,10,-0.431802,1.000000,0
D,6,11,0.002191,0.423576,0
D,7,0,-0.069510,1.000000,0
D,7,1,-0.270097,1.000000,0
D,7,2,-0.294380,1.000000,0
D,7,3,0.050281,0.000999,1
D,7,4,0.117711,0.000999,1
D,7,5,0.132440,0.000999,1
D,7,6,-0.235383,1.000000,0
D,7,7,-0.529361,1.000000,0
D,7,8,0.143345,0.000999,1
D,7,9,0.153080,0.000999,1
D,7,10,-0.260221,1.000000,0
D,7,11,-0.537479,1.000000,0
D,8,0,-0.176950,1.000000,0
D,8,1,-0.571194,1.000000,0
D,8,2,-0.159473,1.000000,0
D,8,3,0.043294,0.000999,1
D,8,4,0.098834,0.000999,1
D,8,5,0.113894,0.000999,1
D,8,6,-0.503788,1.000000,0
D,8,7,0.048653,0.000999,1
D,8,8,0.021089,0.080919,0
D,8,9,-0.007847,0.752248,0
D,8,10,0.090742,0.000999,1
D,8,11,-0.072031,1.000000,0
D,9,0,0.004015,0.409590,0
D,9,1,-0.428217,1.000000,0
D,9,2,-0.078122,1.000000,0
D,9,3,0.095792,0.000999,1
D,9,4,-0.248639,1.000000,0
D,9,5,0.094089,0.000999,1
D,9,6,-0.236244,1.000000,0
D,9,7,0.082285,0.000999,1
D,9,8,-0.046549,0.989011,0
D,9,9,-0.247521,1.000000,0
D,9,10,0.126015,0.000999,1
D,9,11,-0.593367,1.000000,0
D,10,0,-0.060245,1.000000,0
D,10,1,-0.332741,1.000000,0
D,10,2,-0.406986,1.000000,0
D,10,3,-0.248443,1.000000,0
D,10,4,-0.262474,1.000000,0
D,10,5,-0.009334,0.924076,0
D,10,6,-0.253879,1.000000,0
D,10,7,-0.024587,0.941059,0
D,10,8,-0.552370,1.000000,0
D,10,9,0.005962,0.255744,0
D,10,10,-0.221454,1.000000,0
D,10,11,-0.384213,1.000000,0
D,11,0,-0.082396,1.000000,0
D,11,1,-0.297987,1.000000,0
D,11,2,-0.200745,1.000000,0
D,11,3,-0.280182,1.000000,0
D,11,4,-0.178619,1.000000,0
D,11,5,-0.398297,1.000000,0
D,11,6,-0.288993,1.000000,0
D,11,7,-0.329030,1.000000,0
D,11,8,-0.000150,1.000000,0
D,11,9,-0.354153,1.000000,0
D,11,10,-0.028967,0.966034,0
D,11,11,-0.091924,1.000000,0
