bedingung,schicht,kopf,delta,p,signifikant_bh
C,11,2,-0.011766,0.999200,0
C,11,3,-0.019641,1.000000,0
C,11,4,-0.008982,0.953409,0
C,11,5,-0.038114,1.000000,0
C,11,6,-0.016214,1.000000,0
C,11,7,-0.015254,0.999800,0
C,11,8,-0.007248,0.961008,0
C,11,9,-0.009646,1.000000,0
C,11,10,-0.015464,0.999800,0
C,11,11,-0.002622,0.950010,0
D,0,0,-0.000237,0.801640,0
D,0,1,0.005519,0.000200,1
D,0,2,-0.000397,1.000000,0
D,0,3,0.000067,0.297341,0
D,0,4,-0.000129,0.998400,0
D,0,5,-0.005408,1.000000,0
D,0,6,-0.000119,0.614477,0
D,0,7,-0.000799,0.938212,0
D,0,8,0.000039,0.306339,0
D,0,9,0.000403,0.054589,0
D,0,10,-0.000586,0.880624,0
D,0,11,0.017127,0.000200,1
D,1,0,0.001942,0.000200,1
D,1,1,0.039865,0.000200,1
D,1,2,0.000061,0.000200,1
D,1,3,0.001481,0.000200,1
D,1,4,-0.016607,1.000000,0
D,1,5,0.001151,0.002599,1
D,1,6,0.000296,0.302340,0
D,1,7,0.000175,0.000400,1
D,1,8,0.019640,0.000200,1
D,1,9,0.009156,0.000200,1
D,1,10,0.060488,0.000200,1
D,1,11,-0.001168,1.000000,0
D,2,0,0.035985,0.000200,1
D,2,1,0.065144,0.000200,1
D,2,2,0.041460,0.000200,1
D,2,3,0.036830,0.000200,1
D,2,4,0.032133,0.000200,1
D,2,5,0.061433,0.000200,1
D,2,6,0.039029,0.000200,1
D,2,7,-0.002287,0.998800,0
D,2,8,-0.000760,1.000000,0
D,2,9,0.063354,0.000200,1
D,2,10,0.040584,0.000200,1
D,2,11,0.029147,0.000200,1
D,3,0,-0.003756,1.000000,0
D,3,1,-0.008877,1.000000,0
D,3,2,-0.000134,1.000000,0
D,3,3,0.002335,0.000200,1
D,3,4,0.000321,0.000200,1
D,3,5,-0.059894,1.000000,0
D,3,6,0.002649,0.020996,0
D,3,7,0.057175,0.000200,1
D,3,8,-0.006012,1.000000,0
D,3,9,-0.006158,0.999200,0
D,3,10,0.003359,0.000800,1
D,3,11,-0.001472,0.957808,0
D,4,0,0.010529,0.001200,1
D,4,1,-0.011694,1.000000,0
D,4,2,-0.017371,1.000000,0
D,4,3,0.002575,0.000200,1
D,4,4,-0.041865,1.000000,0
D,4,5,0.007700,0.000200,1
D,4,6,0.057694,0.000200,1
D,4,7,-0.030142,1.000000,0
D,4,8,-0.024943,1.000000,0
D,4,9,-0.039681,1.000000,0
D,4,10,-0.025685,0.999800,0
D,4,11,0.009665,0.002400,1
D,5,0,-0.059989,1.000000,0
D,5,1,-0.032110,1.000000,0
D,5,2,-0.272355,1.000000,0
D,5,3,-0.031277,1.000000,0
D,5,4,-0.163105,1.000000,0
D,5,5,0.024526,0.000200,1
D,5,6,-0.006636,0.880624,0
D,5,7,-0.124492,1.000000,0
D,5,8,0.012677,0.000200,1
D,5,9,-0.010775,0.991602,0
D,5,10,-0.082664,1.000000,0
D,5,11,-0.019762,1.000000,0
D,6,0,-0.024831,1.000000,0
D,6,1,-0.114798,1.000000,0
D,6,2,0.017878,0.000200,1
D,6,3,-0.107242,1.000000,0
D,6,4,-0.055431,1.000000,0
D,6,5,-0.020779,1.000000,0
D,6,6,-0.225604,1.000000,0
D,6,7,-0.084916,1.000000,0
D,6,8,-0.009694,1.000000,0
D,6,9,-0.066428,1.000000,0
D,6,10,-0.208579,1.000000,0
D,6,11,-0.252653,1.000000,0
D,7,0,-0.006132,0.982204,0
D,7,1,0.045021,0.000200,1
D,7,2,0.168474,0.000200,1
D,7,3,-0.301784,1.000000,0
D,7,4,-0.059748,1.000000,0
D,7,5,-0.086809,1.000000,0
D,7,6,0.020914,0.000400,1
D,7,7,-0.083612,1.000000,0
D,7,8,-0.085168,1.000000,0
D,7,9,-0.120801,1.000000,0
D,7,10,0.250614,0.000200,1
D,7,11,-0.162469,1.000000,0
D,8,0,-0.024100,1.000000,0
D,8,1,-0.032557,1.000000,0
D,8,2,-0.029049,1.000000,0
D,8,3,-0.383473,1.000000,0
D,8,4,-0.012771,1.000000,0
D,8,5,-0.123999,1.000000,0
D,8,6,-0.047947,1.000000,0
D,8,7,-0.033121,1.000000,0
D,8,8,-0.070489,1.000000,0
D,8,9,-0.051954,1.000000,0
