bedingung,schicht,kopf,delta,p,signifikant_bh
D,0,10,0.000364,0.000400,1
D,0,11,-0.000489,0.984403,0
D,1,0,0.000760,0.000200,1
D,1,1,-0.001705,1.000000,0
D,1,2,-0.000318,1.000000,0
D,1,3,-0.000306,0.865227,0
D,1,4,-0.001069,1.000000,0
D,1,5,0.007854,0.000200,1
D,1,6,0.003625,0.000200,1
D,1,7,-0.007949,1.000000,0
D,1,8,0.001455,0.000200,1
D,1,9,0.006091,0.000200,1
D,1,10,0.000089,0.000200,1
D,1,11,0.000965,0.000200,1
D,2,0,-0.002889,0.999600,0
D,2,1,-0.080777,1.000000,0
D,2,2,0.021578,0.000200,1
D,2,3,-0.010359,1.000000,0
D,2,4,0.036019,0.000200,1
D,2,5,-0.004189,1.000000,0
D,2,6,0.012456,0.000200,1
D,2,7,0.010870,0.000200,1
D,2,8,-0.003608,1.000000,0
D,2,9,-0.011654,1.000000,0
D,2,10,-0.000053,0.742651,0
D,2,11,0.016272,0.000200,1
D,3,0,0.028582,0.000200,1
D,3,1,-0.022385,1.000000,0
D,3,2,-0.036516,1.000000,0
D,3,3,-0.002633,0.865227,0
D,3,4,0.007568,0.000800,1
D,3,5,-0.036376,1.000000,0
D,3,6,-0.031646,1.000000,0
D,3,7,-0.076073,1.000000,0
D,3,8,-0.028721,1.000000,0
D,3,9,0.042463,0.000200,1
D,3,10,-0.008513,1.000000,0
D,3,11,0.014634,0.000200,1
D,4,0,0.013632,0.000200,1
D,4,1,0.026900,0.000200,1
D,4,2,-0.050386,1.000000,0
D,4,3,-0.025355,1.000000,0
D,4,4,0.091276,0.000200,1
D,4,5,-0.020400,1.000000,0
D,4,6,-0.034042,1.000000,0
D,4,7,-0.048228,1.000000,0
D,4,8,-0.156913,1.000000,0
D,4,9,0.085116,0.000200,1
D,4,10,-0.011996,1.000000,0
D,4,11,0.000002,0.117177,0
D,5,0,-0.347293,1.000000,0
D,5,1,0.015043,0.000200,1
D,5,2,-0.046418,1.000000,0
D,5,3,-0.013819,1.000000,0
D,5,4,-0.123710,1.000000,0
D,5,5,-0.046374,1.000000,0
D,5,6,-0.234707,1.000000,0
D,5,7,0.071088,0.000200,1
D,5,8,-0.047715,1.000000,0
D,5,9,-0.073245,1.000000,0
D,5,10,0.006965,0.000200,1
D,5,11,0.129372,0.000200,1
D,6,0,0.034157,0.000200,1
D,6,1,-0.032917,1.000000,0
D,6,2,0.009517,0.000200,1
D,6,3,-0.024463,1.000000,0
D,6,4,-0.136717,1.000000,0
D,6,5,-0.082473,1.000000,0
D,6,6,-0.047636,1.000000,0
D,6,7,-0.031280,1.000000,0
D,6,8,-0.035149,1.000000,0
D,6,9,-0.117462,1.000000,0
D,6,10,-0.444073,1.000000,0
D,6,11,0.036256,0.000200,1
D,7,0,-0.057804,1.000000,0
D,7,1,-0.231241,1.000000,0
D,7,2,-0.275764,1.000000,0
D,7,3,0.076176,0.000200,1
D,7,4,0.129254,0.000200,1
D,7,5,0.103324,0.000200,1
D,7,6,-0.244534,1.000000,0
D,7,7,-0.584665,1.000000,0
D,7,8,0.129179,0.000200,1
D,7,9,0.202697,0.000200,1
D,7,10,-0.252115,1.000000,0
D,7,11,-0.549264,1.000000,0
D,8,0,-0.171733,1.000000,0
D,8,1,-0.569391,1.000000,0
D,8,2,-0.145694,1.000000,0
D,8,3,0.088276,0.000200,1
D,8,4,0.104840,0.000200,1
D,8,5,0.150950,0.000200,1
D,8,6,-0.530654,1.000000,0
D,8,7,0.085250,0.000200,1
D,8,8,0.054702,0.000200,1
D,8,9,0.012322,0.000400,1
D,8,10,0.077522,0.000200,1
D,8,11,-0.089407,1.000000,0
D,9,0,-0.002848,0.734653,0
D,9,1,-0.453533,1.000000,0
D,9,2,-0.034893,1.000000,0
D,9,3,0.134095,0.000200,1
D,9,4,-0.269977,1.000000,0
D,9,5,0.097771,0.000200,1
D,9,6,-0.218649,1.000000,0
D,9,7,0.067238,0.000200,1
D,9,8,-0.050671,1.000000,0
D,9,9,-0.213871,1.000000,0
D,9,10,0.130120,0.000200,1
D,9,11,-0.543577,1.000000,0
D,10,0,-0.062325,1.000000,0
D,10,1,-0.288843,1.000000,0
D,10,2,-0.357136,1.000000,0
D,10,3,-0.210839,1.000000,0
D,10,4,-0.252620,1.000000,0
D,10,5,0.018807,0.000200,1
D,10,6,-0.209057,1.000000,0
D,10,7,-0.015028,1.000000,0
D,10,8,-0.534672,1.000000,0
D,10,9,0.035989,0.000200,1
D,10,10,-0.183965,1.000000,0
D,10,11,-0.346401,1.000000,0
D,11,0,-0.067187,1.000000,0
D,11,1,-0.239756,1.000000,0
D,11,2,-0.215619,1.000000,0
D,11,3,-0.266738,1.000000,0
D,11,4,-0.161265,1.000000,0
D,11,5,-0.384270,1.000000,0
D,11,6,-0.269641,1.000000,0
D,11,7,-0.322263,1.000000,0
D,11,8,-0.000138,1.000000,0
D,11,9,-0.351651,1.000000,0
D,11,10,-0.022875,1.000000,0
D,11,11,-0.098558,1.000000,0
